1101	hf_20260922_165706_05439fe5-d752-4171-bcfc-ecfcb34d0328.wav	NAR	En Colombia hay una regla con La Llorona: si la oyes lejos, es porque está detrás de ti.
1102	hf_20260922_165705_f2005b21-3010-4aa6-b694-9f781536880e.wav	NAR	Eran las dos de la mañana, en el río Guayuriba. Y yo la oí clarito, allá lejos.
1103	hf_20260922_165706_f97f933b-0627-42b4-9581-f3554fe52ba8.wav	NAR	Mi abuela me lo advirtió mil veces: entre más lejos suena, más cerca está.
1104	hf_20260922_165706_5e4cc75e-e379-4407-815e-bd9eb49e2c5c.wav	NAR	La moto se apagó sola. Y empezó a gotear agua adentro del casco.
1105	hf_20260922_165706_1bb98e06-7dd9-4a5d-a0eb-a441d45afee6.wav	NAR	Dejé de oírla. Ese silencio fue lo peor.
1106	hf_20260922_165705_0c579ced-7e53-4f47-bf49-8bb725d0ecf3.wav	LLO	¿Has visto a mis hijos?
1107	hf_20260922_165705_c5c386cd-26fe-46d5-9aaa-b824298fe071.wav	NAR	Me puso el bulto en los brazos. Y me dijo que no lo abriera.
1201	hf_20260922_165706_4310bcc4-2d05-48f6-9b1e-cd0cf50fb5fa.wav	NAR	Desperté en mi cama con el río encima. Y el bulto seguía ahí.
1202	hf_20260922_165706_d3507c03-2289-4caa-85c2-4ac7596f90f6.wav	ABU	Ese bulto no es de ella, mijo. Ese bulto es de nosotros.
1203	hf_20260922_165706_c805ecf2-f3b2-4deb-ab82-f17b7a1417f3.wav	NAR	Mi bisabuelo la dejó ahogarse en ese vado. A ella y a la niña.
1204	hf_20260922_165705_d17d4fc5-185a-4c4b-9c51-782ad55838ab.wav	NAR	Esa noche el agua entró por debajo de la puerta. Y no estaba lloviendo.
1205	hf_20260922_165904_25101bee-4cc8-40a2-af25-ed6f40d56966.wav	NAR	Abrí una puntica del trapo, y una manito fría me agarró el dedo.
1206	hf_20260922_170147_07583449-fdf8-4fbd-93bd-6428a6a0182b.wav	ABU	Solo se rompe con un nombre, Samuel. Y usted no lo sabe.
1301	hf_20260922_165904_888d7306-0288-4fca-8a86-18eee05b25aa.wav	NAR	Para que La Llorona lo suelte a uno, hay que decir el nombre de la niña.
1302	hf_20260922_165904_a917c177-bb93-4b51-8684-aed41ac447ac.wav	ABU	A las tres. En el vado. Y no se devuelva.
1303	hf_20260922_165904_bb68f48e-fad6-4304-931f-7c04d0595ce9.wav	NAR	Me metí al Guayuriba con el bulto y una vela que no se apagaba.
1304	hf_20260922_170147_b9d88ef6-bd53-4cc4-8845-e9e6f3644613.wav	NAR	Salió del agua. Y detrás de ella salieron todas las demás.
1305	hf_20260922_170147_ceb83c31-6bc4-47b2-93c8-135cdf00d96c.wav	SAM	¡Ana Celeste!
1306	hf_20260922_170147_c461775a-db3e-4e11-861d-0cc813316746.wav	NAR	Grité el nombre, y el río se quedó quieto.
1307	hf_20260922_165904_42b89859-7a56-494f-824b-ad531df97623.wav	LLO	Gracias, Rangel.
1308	hf_20260922_172056_7af04703-34d9-43f4-8743-3e2b73d705df.wav	NAR	Por un segundo tuvo cara. Y se llevó a su niña.
1309	hf_20260922_170147_a4c73c45-e88c-4238-8e66-c314099c04f4.wav	NAR	Al amanecer había otro bulto en la puerta. Con otro nombre escrito.
